MDT,Max TemperatureF,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
2017-01-01,46,34,23,21,18,14,80,56,32,29.68,29.59,29.52,10,10,10,7,2,-,0, 
2017-01-02,50,34,17,27,20,10,93,69,20,30.03,29.76,29.58,10,10,10,17,4,25,0, 
2017-01-03,30,22,14,21,15,9,100,83,60,30.13,30.06,30.02,10,8,1,9,3,-,0,Snow
2017-01-04,14,10,5,12,8,1,93,89,79,30,29.89,29.76,10,3,0,9,3,-,0.09,Snow
2017-01-05,8,4,1,3,1,0,92,83,67,30.02,29.95,29.88,10,5,0,7,1,-,0.29,Snow
2017-01-06,28,12,-5,9,0,-9,92,74,31,30.18,30.04,29.92,10,10,1,7,1,-,0, 
2017-01-07,26,16,5,10,6,0,86,69,46,30.33,30.22,30.07,10,10,10,5,1,-,0, 
2017-01-08,51,33,15,30,24,9,87,55,35,30.1,30.04,29.94,10,10,10,26,7,44,0, 
2017-01-09,59,44,30,34,30,19,87,48,30,29.91,29.65,29.47,10,10,7,44,22,69,0.01,Rain
2017-01-10,50,42,34,23,19,14,56,43,29,29.78,29.68,29.53,10,10,10,30,15,43,0, 
2017-01-11,54,40,25,30,25,18,92,64,35,29.76,29.57,29.46,10,10,2,36,19,52,0,Snow
2017-01-12,41,32,23,27,23,18,96,69,41,30.16,30.02,29.77,10,9,2,14,7,24,0,Snow
2017-01-13,41,31,21,28,24,19,100,78,55,30.33,30.25,30.14,10,8,4,6,2,-,0, 
2017-01-14,41,33,25,30,27,23,100,78,55,30.35,30.29,30.2,10,8,5,5,1,-,0, 
2017-01-15,37,32,27,32,28,25,100,85,70,30.2,30.04,29.96,10,8,2,5,2,-,0,Snow
2017-01-16,37,34,30,32,31,27,100,85,70,30.11,30.05,29.96,10,6,1,4,1,-,0.22,Snow
2017-01-17,43,32,21,32,26,21,100,76,51,30.09,30.03,29.99,10,9,1,5,2,-,0, 
2017-01-18,52,40,27,23,19,14,78,51,24,30,29.84,29.67,10,10,10,8,2,-,0, 
2017-01-19,52,40,28,27,21,18,63,47,30,29.67,29.57,29.49,10,10,10,6,2,-,0, 
2017-01-20,46,39,32,28,26,14,82,60,38,29.48,29.42,29.33,10,10,10,10,2,-,0, 
2017-01-21,41,34,27,28,25,21,92,69,46,29.71,29.45,29.35,10,10,10,7,2,-,0, 
2017-01-22,46,37,28,23,13,3,66,42,17,29.93,29.84,29.71,10,10,10,21,4,28,0, 
2017-01-23,52,41,30,32,23,16,96,65,33,29.73,29.58,29.48,10,10,10,10,3,17,0, 
2017-01-24,32,28,23,32,24,18,100,82,63,29.85,29.63,29.49,10,9,1,8,4,-,0,Snow
2017-01-25,32,25,18,19,14,10,92,68,43,30.09,29.95,29.85,10,10,10,6,3,-,0,Snow
2017-01-26,32,23,14,12,6,-6,80,55,29,30.26,30.16,30.08,10,10,10,7,2,-,0, 
2017-01-27,43,29,14,12,4,-4,55,37,19,30.32,30.25,30.13,10,10,7,12,2,-,0, 
2017-01-28,50,36,21,18,11,5,68,45,22,30.33,30.28,30.23,10,10,10,21,5,27,0, 
2017-01-29,61,49,36,18,13,10,38,27,15,30.33,30.29,30.21,10,10,10,15,8,25,0, 
2017-01-30,61,54,46,16,14,12,28,22,16,30.2,30.07,29.96,10,10,10,28,10,44,0, 
2017-01-31,63,50,37,23,13,7,48,30,12,29.99,29.88,29.78,10,10,10,14,4,20,0, 
