MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF
2017-01-01,46,34,23
2017-01-02,50,34,17
2017-01-03,30,22,14
2017-01-04,14,10,5
2017-01-05,8,4,1
2017-01-06,28,12,-5
2017-01-07,26,16,5
2017-01-08,51,33,15
2017-01-09,59,44,30
2017-01-10,50,42,34
2017-01-11,54,40,25
2017-01-12,41,32,23
2017-01-13,41,31,21
2017-01-14,41,33,25
2017-01-15,37,32,27
2017-01-16,37,34,30
2017-01-17,43,32,21
2017-01-18,52,40,27
2017-01-19,52,40,28
2017-01-20,46,39,32
2017-01-21,41,34,27
2017-01-22,46,37,28
2017-01-23,52,41,30
2017-01-24,32,28,23
2017-01-25,32,25,18
2017-01-26,32,23,14
2017-01-27,43,29,14
2017-01-28,50,36,21
2017-01-29,61,49,36
2017-01-30,61,54,46
2017-01-31,63,50,37
2017-02-01,36,30,23
2017-02-02,25,23,21
2017-02-03,43,30,16
2017-02-04,55,39,23
2017-02-05,59,46,32
2017-02-06,59,47,34
2017-02-07,61,52,43
2017-02-08,57,50,43
2017-02-09,68,55,41
2017-02-10,75,67,59
2017-02-11,61,49,36
2017-02-12,46,39,32
2017-02-13,50,40,30
2017-02-14,50,39,28
2017-02-15,64,47,30
2017-02-16,72,57,41
2017-02-17,68,55,41
2017-02-18,61,49,36
2017-02-19,59,48,36
2017-02-20,61,52,43
2017-02-21,70,57,43
2017-02-22,57,46,34
2017-02-23,36,28,19
2017-02-24,28,23,18
2017-02-25,36,25,14
2017-02-26,43,31,19
2017-02-27,50,35,19
2017-02-28,41,36,30
2017-03-01,43,34,25
2017-03-02,52,40,28
2017-03-03,63,47,30
2017-03-04,68,50,32
2017-03-05,63,50,37
2017-03-06,52,40,28
2017-03-07,50,40,30
2017-03-08,66,52,37
2017-03-09,70,53,36
2017-03-10,63,45,27
2017-03-11,46,41,36
2017-03-12,61,47,32
2017-03-13,53,42,30
2017-03-14,72,58,43
2017-03-15,77,57,36
2017-03-16,73,61,48
2017-03-17,70,57,43
2017-03-18,81,59,37
2017-03-19,77,66,54
2017-03-20,75,64,52
2017-03-21,59,48,37
2017-03-22,68,52,36
2017-03-23,75,57,39
2017-03-24,55,46,37
2017-03-25,63,49,34
2017-03-26,54,49,43
2017-03-27,61,49,36
2017-03-28,46,43,39
2017-03-29,59,48,36
2017-03-30,66,51,36
2017-03-31,46,40,34
2017-04-01,41,38,34
2017-04-02,63,48,32
2017-04-03,59,46,32
2017-04-04,41,37,32
2017-04-05,54,41,28
2017-04-06,66,52,37
2017-04-07,73,56,39
2017-04-08,75,63,50
2017-04-09,54,48,41
2017-04-10,59,46,32
2017-04-11,68,50,32
2017-04-12,73,55,37
2017-04-13,79,61,43
2017-04-14,77,61,45
2017-04-15,70,58,45
2017-04-16,70,56,41
2017-04-17,77,59,41
2017-04-18,72,59,46
2017-04-19,68,57,46
2017-04-20,61,51,41
2017-04-21,50,44,37
2017-04-22,55,46,37
2017-04-23,75,56,37
2017-04-24,64,55,45
2017-04-25,57,46,34
2017-04-26,61,47,32
2017-04-27,55,46,37
2017-04-28,54,43,32
2017-04-29,34,32,30
2017-04-30,63,46,28
2017-05-01,64,53,41
2017-05-02,61,52,43
2017-05-03,55,46,37
2017-05-04,72,55,37
2017-05-05,77,60,43
2017-05-06,86,68,50
2017-05-07,79,67,54
2017-05-08,68,58,48
2017-05-09,63,57,50
2017-05-10,55,51,46
2017-05-11,64,55,45
2017-05-12,79,62,45
2017-05-13,82,65,48
2017-05-14,72,61,50
2017-05-15,77,63,48
2017-05-16,70,58,45
2017-05-17,72,57,41
2017-05-18,41,37,32
2017-05-19,41,37,32
2017-05-20,63,48,32
2017-05-21,64,52,39
2017-05-22,68,56,43
2017-05-23,64,53,41
2017-05-24,82,62,41
2017-05-25,72,59,46
2017-05-26,54,50,45
2017-05-27,-,-,-
2017-05-28,57,56,55
2017-05-29,68,57,46
2017-05-30,75,60,45
2017-05-31,78,64,51
